=1,=1.0
=2,=0.999555061179
=3,=0.999703374119
=4,=0.99977753059
=5,=0.999466073415
=6,=0.999962921765
=7,=1.0
=8,=0.998413386392
=9,=0.993177439525
=10,=0.982691062329
=11,=0.944018606533
=12,=0.810802851225
=13,=0.711423876471
=14,=0.638910687044
=15,=0.587711559366
=16,=0.650480200612
=17,=0.560829850833
=18,=0.471378815336
=19,=0.482650545688
=20,=0.193154331015
